Account ID,Company Name,Listed,Ticker,ISIN,HQ Country,GICS Sector,Accounting Year End, Reported Scope 1 (tCO2e) , Estimated Scope 1 (tCO2e) ,Scope 1 source,Scope 1 quality flag, Reported market-based Scope 2 (tCO2e) , Note , Reported location-based Scope 2 (tCO2e) , Estimated location-based Scope 2 (tCO2e) ,Location-based Scope 2 source,Location-based Scope 2 quality flag,Scope 2 company comments,GHG revenue intensity (tCO2e/mmUSD),Scope 2 figure used for intensity,amplification.wordsindex,DeAmplification.wordsindex,HE_negativeindex,HE_positiveindex,angerindex,anticipationindex,disgustindex,fearindex,joyindex,sadnessindex,surpriseindex,trustindex,LMnegativeindex,LMpositiveindex,LMuncertaintyindex,BasicNegativeWordsindex,PositivePolarisedindex,NegativePolarisedindex,PowerWordsindex,PrudentialNegativeindex,PrudentialPositiveindex,PrudentialTopNegativeindex,Strategyindex,Financial.termsindex,Regulationindex,Technologyindex,Healthcareindex,Environmentindex,Socialindex,Governanceindex,ESGindex,LMuncertaintyindex,Regulationindex,Environmentindex,Socialindex,Governanceindex,ESGindex,ISIN lower,2016vol,2017vol,2018vol,2019vol,VolFactor,Carbon Emission  (tCO2e/mmUSD)
806,Ansell,Yes,ANN AU,,Australia,Health Care,01/06/2017," 141,634.00 ",,Reported: CDP (Not Reviewed),," 111,773.00 ",  ," 111,512.00 ",,Reported: CDP (Not Reviewed),,,184.36,Market-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,,,,,,0,184.3630411
1187,Australia and New Zealand Banking Group,Yes,ANZ AU,AU000000ANZ3,Australia,Financials,30/06/2016," 21,122.00 ",,Reported: CDP (Reviewed),7," 136,124.06 ",  ," 172,447.00 ",,Reported: CDP (Reviewed),7,,5.35,Market-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,au000000anz3,0.017520552,0.011407886,0.012071447,0.015461751,0.40802005,5.35321773
802,APA Group,Yes,APA AU,AU000000APA1,Australia,Utilities,30/06/2016," 402,695.00 ",,Reported: CDP (Reviewed),7,, NA ," 26,487.00 ",,Reported: CDP (Reviewed),7,,285.91,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,au000000apa1,0.0147818,0.01149818,0.020463557,0.01365611,0.478696742,285.9078555
36571,Ausdrill,Yes,ASL AU,AU000000ASL2,Australia,Materials,28/06/2017,," 140,000 ",Estimated: Gamma GLM,2,, NA ,," 240,000 ",Estimated: IEA National Grid Emissions Factor applied to Estimated SHEC.,3,,649.15,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,au000000asl2,0.057488408,0.025507559,0.030621014,0.032861161,0.041102757,649.1509789
17397,AusNet Services,Yes,AST AU,AU000000AST5,Australia,Utilities,30/03/2017,," 180,000 ",Estimated: Carried Forwards,5,, NA ,," 860,000 ",Estimated: IEA National Grid Emissions Factor applied to Estimated SHEC.,1,,734.29,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,au000000ast5,0.013039151,0.010502609,0.013381252,0.008446933,0.654385965,734.2921494
609,Alumina,Yes,AWC AU,,Australia,Materials,31/12/2016," 2,542,856.00 ",,Reported: CDP (Reviewed),7,, NA ," 1,396,300.00 ",,Reported: CDP (Reviewed),7,,,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,,,,,,0,539.2810767
21454,AWE,Yes,AWE AU,AU000000AWE9,Australia,Energy,28/06/2017,," 170,000 ",Estimated: Oil & Gas Extraction,6,, NA ,," 45,000 ",Estimated: Oil & Gas Extraction,6,,3968.25,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,au000000awe9,0.057953161,0.03208439,,,0,3968.253968
36581,Aurizon Holdings,Yes,AZJ AU,AU000000AZJ1,Australia,Industrials,30/06/2016," 656,639.00 ",,Reported: CDP (Reviewed),7,, NA ," 434,712.00 ",,Reported: CDP (Reviewed),7,,433.19,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,au000000azj1,0.018589339,0.012920367,0.012635164,0.011504328,0.562907268,433.1926869
1680,Bendigo and Adelaide Bank,Yes,BEN AU,AU000000BEN6,Australia,Financials,30/06/2016," 3,754.76 ",,Reported: CDP (Reviewed),7," 25,890.17 ",  ," 25,890.17 ",,Reported: CDP (Reviewed),7,We currently purchase a renewable energy matched component of our electricity however this is not accredited as greenpower. Hence our location based is identical to market based for the reporting year.,13.23,Market-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,au000000ben6,0.019453692,0.01497272,0.012992095,0.016372304,0.36566416,13.23091789
1808,BHP Billiton,Yes,BHP AU,AU000000BHP4,Australia,Materials,30/06/2016," 11,292,000.00 ",,Reported: CDP (Reviewed),7," 6,720,000.00 ",  ," 6,720,000.00 ",,Reported: CDP (Reviewed),7,"In accordance with the new GHG Protocol Scope 2 disclosure requirements our market-based Scope 2 emissions were 6.72Mt CO2-e which compare to ourlocation-based Scope 2 emissions of 6.72Mt CO2-e. Unless otherwise noted, all scope 2 emissions reported are calculated using the market-based method.Our market-based Scope 2 emissions were calculated using supplier specific emissions factors. A residual mix is currently unavailable to account for voluntarypurchases and this may result in double counting between electricity consumers.",582.69,Market-based,120,133,97,105,136,117,118,132,104,73,125,109,103,128,89,123,110,123,123,105,136,0,44,115,51,43,47,133,52,0,61,0.18,0.06,0.17,0.28,0.19,0.09,au000000bhp4,0.02788261,0.014745463,0.015850741,0.012937031,0.505513784,582.6863354
2053,Boral,Yes,BLD AU,AU000000BLD2,Australia,Materials,30/06/2016," 1,925,805.00 ",,Reported: CDP (Reviewed),7,, NA ," 532,005.00 ",,Reported: CDP (Reviewed),7,,782.51,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,au000000bld2,0.018650568,0.014312647,0.017729903,0.018819284,0.263157895,782.512767
1479,Bank of Queensland,Yes,BOQ AU,AU000000BOQ8,Australia,Financials,30/08/2016,," 1,700 ",Estimated: Gamma GLM,5,, NA ,," 21,000 ",Estimated: IEA National Grid Emissions Factor applied to Estimated SHEC.,5,,13.20,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,au000000boq8,0.019098625,0.012369667,0.01335654,0.016562386,0.355889724,13.20227987
1916,BlueScope Steel,Yes,BSL AU,AU000000BSL0,Australia,Materials,28/06/2017," 8,145,000.00 ",,Reported: Company Filings (Reviewed),7,, NA ,," 2,800,000 ","Estimated: Iron & Steel Mills, Gamma GLM",6,,1363.86,Location-based,112,89,60,121,131,98,90,103,100,71,109,82,80,129,92,84,121,84,91,90,106,81,69,80,48,30,0,345,143,117,184,0.16,0.19,0.06,0.08,0.05,0.13,au000000bsl0,0.028575645,0.024868612,0.02291051,0.024640345,0.119298246,1363.862928
2382,BT Investment Management,Yes,BTT AU,AU000000BTT1,Australia,Financials,30/09/2016, -   ,,Reported: CDP (Not Reviewed),,, NA , 486.07 ,,Reported: CDP (Not Reviewed),,,1.32,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,au000000btt1,0.027367746,0.018128021,0.01859541,0.017682276,0.308270677,1.319336627
2116,Brambles,Yes,BXB AU,AU000000BXB1,Australia,Industrials,30/06/2016," 78,940.00 ",,Reported: CDP (Reviewed),7,, NA ," 41,820.00 ",,Reported: CDP (Reviewed),7,"We did not calculate or report a scope 2 market-based emissions figure for FY16. We will investigate doing this in FY17, as we are able to separate renewable energy data by country.",21.82,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,au000000bxb1,0.016134243,0.016279062,0.012092296,0.01100971,0.577944862,21.81594827
3649,Commonwealth Bank of Australia,Yes,CBA AU,AU000000CBA7,Australia,Financials,30/06/2016," 9,083.00 ",,Reported: CDP (Reviewed),7,, NA ," 108,013.00 ",,Reported: CDP (Reviewed),7,,3.90,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,au000000cba7,0.015779577,0.010535136,0.011688047,0.012803651,0.512781955,3.903835024
3558,Coca-Cola Amatil,Yes,CCL AU,AU000000CCL2,Australia,Consumer Staples,31/12/2016," 69,864.00 ",,Reported: CDP (Reviewed),7,, NA ," 208,699.00 ",,Reported: CDP (Reviewed),7,,71.84,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,au000000ccl2,0.016085445,0.013589847,0.015476066,0.015717085,0.396240602,71.84365611
3105,Challenger,Yes,CGF AU,AU000000CGF5,Australia,Financials,30/06/2016,, 860 ,Estimated: Gamma GLM,3,, NA , 994.30 ,,Reported: CDP (Reviewed),7,,1.40,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,au000000cgf5,0.021224349,0.012919547,0.019202248,0.031250196,0.051629073,1.403624307
21448,Charter Hall Group,Yes,CHC AU,AU000000CHC0,Australia,Real Estate,30/06/2016," 6,784.00 ",,Reported: CDP (Not Reviewed),,, NA ," 79,608.00 ",,Reported: CDP (Not Reviewed),,,703.12,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,au000000chc0,0.014613686,0.011183807,0.011229908,0.009966276,0.610275689,703.1171157
3570,Cochlear,Yes,COH AU,AU000000COH5,Australia,Health Care,29/06/2017,," 5,500 ",Estimated: Gamma GLM,5,, NA ,," 19,000 ",Estimated: IEA National Grid Emissions Factor applied to Estimated SHEC.,5,,25.91,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,au000000coh5,0.018270272,0.012845934,0.017356825,0.01666297,0.352130326,25.91386021
4052,CSL,Yes,CSL AU,AU000000CSL8,Australia,Health Care,30/06/2016," 87,244.00 ",,Reported: CDP (Reviewed),7," 185,202.00 ",  ," 186,423.00 ",,Reported: CDP (Reviewed),7,"These represent Scope 2 emissions from CSL's operations in Australia, Europe, USA and the UK with small exceptions noted elsewhere (CC8.4a).",44.55,Market-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,au000000csl8,0.014925889,0.013519195,0.016079918,0.013934397,0.46716792,44.55153468
4116,CSR,Yes,CSR AU,AU000000CSR5,Australia,Materials,30/03/2017,," 450,000 ",Estimated: Carried Forwards,5,, NA ,," 890,000 ",Estimated: IEA National Grid Emissions Factor applied to Estimated SHEC.,4,,721.19,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,au000000csr5,,,,,0,721.1861898
2630,Caltex Australia,Yes,CTX AU,AU000000CTX1,Australia,Energy,31/12/2016," 733,536.99 ",,Reported: Company Filings (Reviewed),7,, NA ,," 990,000 ","Estimated: Gamma GLM, O&G  Refining",6,,129.18,Location-based,115,187,67,92,61,90,85,83,96,94,81,78,105,97,59,98,108,98,84,106,43,148,101,96,87,37,0,19,112,16,46,0.29,0.12,0.08,0.27,0.23,0.09,au000000ctx1,0.016025505,0.012204884,0.013604682,0.015332129,0.415288221,129.1759812
4090,Crown Resorts,Yes,CWN AU,AU000000CWN6,Australia,Consumer Discretionary,30/06/2016," 25,399.00 ",,Reported: CDP (Reviewed),7,, NA ," 144,038.00 ",,Reported: CDP (Reviewed),7,,58.45,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,au000000cwn6,0.020303711,0.012383639,0.012165556,0.011876783,0.550626566,58.45427175
19316,Cleanaway Waste Management,Yes,CWY AU,AU000000TPI4,Australia,Industrials,30/06/2016," 671,897.00 ",,Reported: CDP (Not Reviewed),,, NA ," 29,331.00 ",,Reported: CDP (Not Reviewed),,,661.47,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,au000000tpi4,,,,,0,661.4672062
50085,Domino's Pizza Enterprises,Yes,DMP AU,,Australia,Consumer Discretionary,29/06/2017,," 9,300 ",Estimated: Gamma GLM,3,, NA ,," 57,000 ",Estimated: IEA National Grid Emissions Factor applied to Estimated SHEC.,4,,82.07,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,,,,,,0,82.06969116
4899,Downer EDI,Yes,DOW AU,AU000000DOW2,Australia,Industrials,30/06/2016," 220,712.00 ",,Reported: CDP (Not Reviewed),,, NA ," 41,187.00 ",,Reported: CDP (Not Reviewed),,Final data was revised to correct error (remove duplication) to data reported in 2016 Sustainability Report (41187),52.51,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,au000000dow2,0.024076633,0.02265567,0.014017047,0.016443696,0.362656642,52.50791932
4627,Dexus Property Group,Yes,DXS AU,AU000000DXS1,Australia,Real Estate,30/06/2016," 17,044.00 ",,Reported: CDP (Reviewed),7," 127,852.00 ",  ," 134,895.00 ",,Reported: CDP (Reviewed),7,"Dexus's market-based Scope 2 emissions accounts for voluntary purchase of accredited GreenPower for properties in Australia, with the residual mix calculated using state-based electricity grid emission factors. GreenPower purchases are unbundled and consist of purchases from government-accredited, emission-free renewable sources including wind and solar.",229.95,Market-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,au000000dxs1,0.015236075,0.010565587,0.012104824,0.011296541,0.567669173,229.9498508
6423,Flight Centre,Yes,FLT AU,AU000000FLT9,Australia,Consumer Discretionary,28/06/2017,," 160,000 ",Estimated: Gamma GLM,3,, NA ,," 54,000 ",Estimated: IEA National Grid Emissions Factor applied to Estimated SHEC.,3,,107.08,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,au000000flt9,0.021185587,0.017010642,0.020427547,0.01690864,0.339598997,107.0754882
6634,Fortescue Metals Group,Yes,FMG AU,AU000000FMG4,Australia,Materials,30/06/2016," 1,410,794.00 ",,Reported: CDP (Reviewed),7,, NA ," 362,799.00 ",,Reported: CDP (Reviewed),7,,250.40,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,au000000fmg4,0.042437272,0.024740743,0.020302,0.027189967,0.080952381,250.4013835
7614,Goodman Group,Yes,GMG AU,AU000000GMG2,Australia,Real Estate,29/06/2017," 11,425.00 ",,Reported: Company Filings (Reviewed),7,, NA ,," 76,000 ",Estimated: IEA National Grid Emissions Factor applied to Estimated SHEC.,5,,70.25,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,au000000gmg2,0.014653671,0.010369671,0.011999689,0.012562178,0.524561404,70.24683834
21442,GrainCorp,Yes,GNC AU,AU000000GNC9,Australia,Consumer Staples,29/09/2016,," 220,000 ",Estimated: Gamma GLM,5,, NA ,," 100,000 ",Estimated: IEA National Grid Emissions Factor applied to Estimated SHEC.,5,,104.45,Location-based,155,186,126,116,96,103,86,73,101,74,100,80,107,124,42,89,110,89,92,99,196,357,274,79,35,15,0,228,0,39,94,0.32,0.17,0.25,0.21,0.12,0.11,au000000gnc9,0.017336161,0.014700221,0.02231084,0.011862565,0.55112782,104.4495509
58686,Growthpoint Properties Australia,Yes,GOZ AU,0,Australia,Real Estate,31/12/2016, 552.00 ,,Reported: CDP (Not Reviewed),,, NA ," 9,526.00 ",,Reported: CDP (Not Reviewed),,N/A,50.63,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,0,,,,,0,50.63049486
7647,GPT Group,Yes,GPT AU,AU000000GPT8,Australia,Real Estate,31/12/2016," 13,286.00 ",,Reported: CDP (Reviewed),7," 109,421.00 ",  ," 146,716.00 ",,Reported: CDP (Reviewed),7,The difference between the two measurement approaches reflects electricity retailer agreements to include a portion of Government certified Green Power in our electricity supply,224.20,Market-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,au000000gpt8,0.014105867,0.010293072,0.010854732,0.012621952,0.521553885,224.2042755
8202,Healthscope,Yes,HSO AU,AU000000HSO1,Australia,Health Care,28/06/2017,," 23,000 ",Estimated: Gamma GLM,4,, NA ,," 44,000 ",Estimated: IEA National Grid Emissions Factor applied to Estimated SHEC.,5,,38.33,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,au000000hso1,0.020899095,0.018295936,0.022846777,0.011059008,0.577192982,38.32930018
8134,Harvey Norman Holdings,Yes,HVN AU,AU000000HVN7,Australia,Consumer Discretionary,28/06/2017,," 8,500 ",Estimated: Gamma GLM,3,, NA ,," 30,000 ",Estimated: IEA National Grid Emissions Factor applied to Estimated SHEC.,3,,27.85,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,au000000hvn7,0.017402736,0.018213485,0.016854244,0.017591658,0.310776942,27.85333951
9312,Insurance Australia Group,Yes,IAG AU,AU000000IAG3,Australia,Financials,30/06/2016," 9,981.00 ",,Reported: CDP (Reviewed),7,, NA ," 29,112.00 ",,Reported: CDP (Reviewed),7,Note: Market-based is not applicable.  Scope 2 emissions included GHG emissions from purchased electricity.,6.46,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,au000000iag3,0.016027199,0.012357588,0.014024446,0.010873241,0.581954887,6.458674429
9055,Infigen Energy,Yes,IFN AU,AU000000IFN8,Australia,Utilities,30/06/2016, 402.00 ,,Reported: CDP (Not Reviewed),, 70.00 ,  ," 2,661.00 ",,Reported: CDP (Not Reviewed),,,3.74,Market-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,au000000ifn8,0.031688376,0.018123576,0.025471816,0.026158483,0.093734336,3.739798748
8878,Independence Group,Yes,IGO AU,AU000000IGO4,Australia,Materials,30/06/2016," 49,621.00 ",,Reported: CDP (Not Reviewed),,, NA ," 15,599.00 ",,Reported: CDP (Not Reviewed),,,217.42,Location-based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.25,0.28,0.31,0.32,au000000igo4,0.038918396,0.026594431,0.025030755,0.025770085,0.098746867,217.4217422
